mean,var,mu,sigma
1e-10,0.0036573146561122245,-43.24618880919361,6.359298369985978
1e-10,0.003667334695991984,-43.2475567990657,6.359513482826378
1e-10,0.0036773547358717436,-43.24892105635515,6.359728001481619
1e-10,0.003687374775751503,-43.250281601375384,6.359941929205789
1e-10,0.0036973948156312627,-43.251638454274435,6.36015526922637
1e-10,0.0037074148555110223,-43.25299163503676,6.360368024744528
1e-10,0.003717434895390782,-43.25434116348499,6.360580198935398
1e-10,0.0037274549352705414,-43.255687059281684,6.3607917949483666
1e-10,0.0037374749751503005,-43.25702934193106,6.361002815907347
1e-10,0.00374749501503006,-43.258368030780645,6.361213264911056
1e-10,0.0037575150549098196,-43.25970314502301,6.361423145033279
1e-10,0.003767535094789579,-43.26103470369736,6.3616324593231415
1e-10,0.0037775551346693388,-43.26236272569122,6.361841210805369
1e-10,0.0037875751745490983,-43.26368722974199,6.362049402480546
1e-10,0.003797595214428858,-43.265008234438575,6.3622570373253735
1e-10,0.0038076152543086174,-43.26632575822293,6.362464118292923
1e-10,0.003817635294188377,-43.267639819391604,6.362670648312883
1e-10,0.0038276553340681366,-43.268950436097256,6.3628766302918045
1e-10,0.003837675373947896,-43.27025762635018,6.3630820671133455
1e-10,0.0038476954138276557,-43.27156140801979,6.363286961638511
1e-10,0.003857715453707415,-43.27286179883607,6.363491316705887
1e-10,0.0038677354935871744,-43.27415881639101,6.363695135131876
1e-10,0.003877755533466934,-43.27545247814008,6.363898419710929
1e-10,0.0038877755733466935,-43.2767428014036,6.364101173215765
1e-10,0.003897795613226453,-43.27802980336813,6.364303398397607
1e-10,0.003907815653106212,-43.279313501087856,6.3645050979863935
1e-10,0.003917835692985971,-43.280593911485965,6.364706274691003
1e-10,0.003927855732865731,-43.281871051355964,6.364906931199466
1e-10,0.00393787577274549,-43.28314493736297,6.365107070179183
1e-10,0.00394789581262525,-43.28441558604508,6.3653066942771295
1e-10,0.0039579158525050095,-43.285683013814605,6.365505806120068
1e-10,0.003967935892384769,-43.286947236959385,6.365704408314751
1e-10,0.003977955932264529,-43.288208271644,6.365902503448124
1e-10,0.003987975972144288,-43.28946613391105,6.366100094087524
1e-10,0.003997996012024048,-43.290720839682336,6.366297182780879
1e-10,0.004008016051903807,-43.29197240476013,6.366493772056904
1e-10,0.004018036091783567,-43.29322084482831,6.36668986442529
1e-10,0.004028056131663326,-43.29446617545358,6.366885462376895
1e-10,0.004038076171543086,-43.29570841208661,6.367080568383936
1e-10,0.0040480962114228455,-43.296947570063196,6.367275184900168
1e-10,0.004058116251302605,-43.29818366460539,6.367469314361073
1e-10,0.004068136291182365,-43.29941671082264,6.367662959184035
1e-10,0.004078156331062124,-43.30064672371287,6.367856121768522
1e-10,0.004088176370941884,-43.301873718163606,6.368048804496264
1e-10,0.004098196410821643,-43.303097708953025,6.368241009731427
1e-10,0.004108216450701403,-43.30431871075105,6.368432739820777
1e-10,0.0041182364905811624,-43.305536738120374,6.368623997093865
1e-10,0.004128256530460921,-43.30675180551755,6.368814783863178
1e-10,0.004138276570340681,-43.307963927293976,6.369005102424321
1e-10,0.00414829661022044,-43.30917311769693,6.369194955056169
1e-10,0.0041583166501002,-43.31037939087058,6.369384344021033
1e-10,0.004168336689979959,-43.311582760856965,6.369573271564823
1e-10,0.004178356729859719,-43.31278324159696,6.369761739917202
1e-10,0.0041883767697394785,-43.313980846931315,6.369949751291741
1e-10,0.004198396809619238,-43.31517559060151,6.37013730788608
1e-10,0.004208416849498998,-43.3163674862508,6.3703244118820725
1e-10,0.004218436889378757,-43.317556547425056,6.370511065445943
1e-10,0.004228456929258517,-43.31874278757378,6.370697270728429
1e-10,0.004238476969138276,-43.31992622005097,6.3708830298649355
1e-10,0.004248497009018036,-43.32110685811598,6.371068344975672
1e-10,0.004258517048897795,-43.322284714934526,6.371253218165805
